previous,current
Eastern Bengal and Assam,Bangladesh
East Bengal,Bangladesh
East Pakistan,Bangladesh
White Russia,Belarus
British Honduras,Belize
Dahomey,Benin
Bechuanaland,Botswana
Upper Volta,Burkina Faso 
Cape Verde,Cabo Verde
Khmer Republic,Cambodia
Kampuchea,Cambodia
Ubangi-Shari,Central African Republic
Central African Empire,Central African Republic
Middle Congo,Republic of the Congo
Belgian Congo,Republic of the Congo
Zaire,Democratic Republic of the Congo
Czech Republic,Czechia
French Somaliland,Djibouti
Territory of the Afars and the Issas,Djibouti
Spanish Guinea,Equatorial Guinea
Swaziland,Eswatini
Abyssinia,Ethiopia
Gold Coast,Ghana
Portuguese Guinea,Guinea-Bissau
British Guiana,Guyana
Dutch East Indies,Indonesia
Persia,Iran
British Mandate of Mesopotamia,Iraq
Irish Free State,Ireland
British Mandate of Palestine,Israel
Transjordan,Jordan
Gilbert Islands,Kiribati
Basutoland,Lesotho
Nyasaland,Malawi
French Sudan,Mali
Bessarabia,Moldova
Moldavian SSR,Moldova
Burma,Myanmar
Southwest Africa,Namibia
Territory of Papua and Territory of New Guinea,Papua New Guinea
Territory of Papua and New Guinea,Papua New Guinea
Spanish Sahara,Sahrawi Arab Democratic Republic
Western Sahara,Sahrawi Arab Democratic Republic
Western Samoa,Samoa
Ceylon,Sri Lanka
Dutch Guiana,Suriname
Siam,Thailand
Portuguese Timor,Timor-Leste
East Timor,Timor-Leste
French Togoland,Togo
Ellice Islands,Tuvalu
New Hebrides,Vanuatu
"Kingdom of Serbs, Croats and Slovenes",Yugoslavia
Northern Rhodesia,Zambia
Southern Rhodesia,Zimbabwe
Rhodesia,Zimbabwe
Zimbabwe-Rhodesia,Zimbabwe
