country,year,count
Germany,1900,1141
Germany,1901,881
Germany,1902,1024
Germany,1903,960
Russia,1904,2360
Russia,1905,1641
France,1906,754
France,1907,1142
France,1908,846
France,1909,876
France,1910,779
France,1911,719
France,1912,972
France,1913,995
Germany,1914,5047
Germany,1915,6832
Germany,1916,4631
Germany,1917,5942
Germany,1918,7221
Germany,1919,3439
France,1920,2130
France,1921,2557
France,1922,2595
France,1923,2918
France,1924,2422
France,1925,2956
France,1926,3014
France,1927,3334
France,1928,3119
France,1929,2884
France,1930,3348
France,1931,3435
France,1932,3087
Germany,1933,3020
France,1934,2742
Italy,1935,2301
France,1936,2793
United Kingdom,1937,2118
France,1938,2427
United Kingdom,1939,2969
United Kingdom,1940,4234
United Kingdom,1941,5140
United Kingdom,1942,3427
Germany,1943,2730
Germany,1944,3289
Japan,1945,2782
Russia,1946,3450
Russia,1947,3192
Russia,1948,3277
Russia,1949,2969
Russia,1950,2621
Russia,1951,2281
Russia,1952,2149
Russia,1953,2437
Russia,1954,2303
Russia,1955,3075
Russia,1956,3672
Russia,1957,2908
Russia,1958,3216
Russia,1959,3378
Russia,1960,3116
Russia,1961,2915
Russia,1962,2760
Russia,1963,2398
Russia,1964,1818
Russia,1965,1877
Vietnam,1966,1873
Russia,1967,1629
Russia,1968,1570
Russia,1969,1528
Russia,1970,1264
Russia,1971,1368
Russia,1972,1390
Russia,1973,1518
Russia,1974,1405
Russia,1975,1272
Russia,1976,1182
Russia,1977,1282
Russia,1978,1107
Iran,1979,1152
Russia,1980,1895
Russia,1981,783
Israel,1982,801
Russia,1983,849
Russia,1984,757
Russia,1985,763
Russia,1986,905
Russia,1987,931
Russia,1988,1023
Russia,1989,972
Russia,1990,918
Russia,1991,866
Russia,1992,621
Russia,1993,523
Russia,1994,457
Japan,1995,483
Japan,1996,431
China,1997,410
China,1998,462
Kosovo,1999,728
China,2000,574
China,2001,597
Iraq,2002,669
Iraq,2003,2295
Iraq,2004,1577
Iraq,2005,1107
Iraq,2006,1396
Iraq,2007,1525
China,2008,868
China,2009,796
China,2010,956
China,2011,873
China,2012,864
China,2013,840
China,2014,851
China,2015,986
China,2016,1030
China,2017,829
China,2018,698
