country,year,month,count
United Kingdom,1900,01,31
United Kingdom,1900,02,33
United Kingdom,1900,03,20
Turkey,1900,04,15
United Kingdom,1900,05,14
China,1900,06,43
China,1900,07,70
China,1900,08,46
Germany,1900,09,10
United Kingdom,1900,10,13
China,1900,11,21
United Kingdom,1900,12,40
United Kingdom,1901,01,17
China,1901,02,17
Russia,1901,03,36
Russia,1901,04,32
China,1901,05,15
United Kingdom,1901,06,13
United Kingdom,1901,07,19
United Kingdom,1901,08,13
France,1901,09,23
France,1901,10,39
France,1901,11,37
Germany,1901,12,37
Germany,1902,01,32
Germany,1902,02,29
Cuba,1902,03,24
United Kingdom,1902,04,23
Martinique,1902,05,24
Cuba,1902,06,18
India,1902,07,12
India,1902,08,8
Mexico,1902,09,6
India,1902,10,10
India,1902,11,12
Germany,1902,12,32
India,1903,01,18
Germany,1903,02,23
Cuba,1903,03,15
Russia,1903,04,29
Russia,1903,05,14
Russia,1903,06,8
Russia,1903,07,18
Turkey,1903,08,15
Mexico,1903,09,10
Russia,1903,10,21
Panama,1903,11,42
Panama,1903,12,32
Russia,1904,01,57
Russia,1904,02,98
Russia,1904,03,59
Russia,1904,04,50
Russia,1904,05,54
Russia,1904,06,44
Russia,1904,07,39
Russia,1904,08,54
Russia,1904,09,49
Russia,1904,10,47
Russia,1904,11,37
Russia,1904,12,29
Russia,1905,01,26
Russia,1905,02,25
Russia,1905,03,45
Japan,1905,04,26
Russia,1905,05,43
Russia,1905,06,57
Russia,1905,07,30
Russia,1905,08,43
Japan,1905,09,27
Russia,1905,10,15
Russia,1905,11,26
Russia,1905,12,34
France,1906,01,14
France,1906,02,13
Germany,1906,03,18
Russia,1906,04,9
Russia,1906,05,8
Russia,1906,06,15
Russia,1906,07,13
Russia,1906,08,13
Cuba,1906,09,27
Cuba,1906,10,17
Cuba,1906,11,13
Japan,1906,12,25
France,1907,01,15
Japan,1907,02,24
Honduras,1907,03,9
Germany,1907,04,8
Japan,1907,05,9
France,1907,06,17
Japan,1907,07,27
France,1907,08,9
Japan,1907,09,11
Italy,1907,10,9
France,1907,11,14
Germany,1907,12,12
France,1908,01,15
France,1908,02,11
Italy,1908,03,19
United Kingdom,1908,04,9
France,1908,05,10
Germany,1908,06,9
Germany,1908,07,15
Germany,1908,08,10
France,1908,09,8
Austria,1908,10,14
Germany,1908,11,14
France,1908,12,14
Japan,1909,01,10
Japan,1909,02,13
Italy,1909,03,14
France,1909,04,9
France,1909,05,16
France,1909,06,20
France,1909,07,14
France,1909,08,19
France,1909,09,10
China,1909,10,12
India,1909,11,7
Nicaragua,1909,12,11
Germany,1910,01,17
France,1910,02,12
India,1910,03,9
France,1910,04,10
France,1910,05,12
Mexico,1910,06,8
China,1910,07,6
Spain,1910,08,8
Italy,1910,09,9
France,1910,10,11
Mexico,1910,11,19
Germany,1910,12,7
Germany,1911,01,10
Russia,1911,02,7
Mexico,1911,03,25
Mexico,1911,04,18
Mexico,1911,05,14
Mexico,1911,06,11
Morocco,1911,07,10
France,1911,08,13
France,1911,09,23
Italy,1911,10,21
Italy,1911,11,10
Russia,1911,12,24
France,1912,01,14
United Kingdom,1912,02,5
Germany,1912,03,9
Mexico,1912,04,7
Cuba,1912,05,8
Cuba,1912,06,8
Germany,1912,07,7
Germany,1912,08,7
France,1912,09,11
Turkey,1912,10,16
Turkey,1912,11,16
Turkey,1912,12,9
Turkey,1913,01,10
Mexico,1913,02,18
Cuba,1913,03,11
Japan,1913,04,12
France,1913,05,12
United Kingdom,1913,06,6
Mexico,1913,07,24
Mexico,1913,08,31
Mexico,1913,09,15
Mexico,1913,10,21
Mexico,1913,11,32
Mexico,1913,12,14
Mexico,1914,01,17
Mexico,1914,02,13
Mexico,1914,03,14
Mexico,1914,04,39
Mexico,1914,05,50
Mexico,1914,06,15
Mexico,1914,07,18
Germany,1914,08,243
Germany,1914,09,268
Germany,1914,10,243
Germany,1914,11,191
Germany,1914,12,142
Germany,1915,01,115
Germany,1915,02,124
Germany,1915,03,112
Germany,1915,04,118
Germany,1915,05,143
Germany,1915,06,148
Germany,1915,07,133
Germany,1915,08,155
Germany,1915,09,124
Germany,1915,10,115
Germany,1915,11,110
Germany,1915,12,95
Germany,1916,01,83
Germany,1916,02,116
Germany,1916,03,112
Germany,1916,04,110
Germany,1916,05,109
Germany,1916,06,72
Germany,1916,07,121
Germany,1916,08,86
Germany,1916,09,61
Germany,1916,10,84
Germany,1916,11,89
Germany,1916,12,103
Germany,1917,01,85
Germany,1917,02,117
Germany,1917,03,141
Germany,1917,04,126
Germany,1917,05,109
Germany,1917,06,77
Germany,1917,07,106
Germany,1917,08,120
Germany,1917,09,144
Germany,1917,10,120
Germany,1917,11,95
Germany,1917,12,86
Germany,1918,01,77
Germany,1918,02,102
Germany,1918,03,153
Germany,1918,04,151
Germany,1918,05,144
Germany,1918,06,149
Germany,1918,07,138
Germany,1918,08,162
Germany,1918,09,141
Germany,1918,10,163
Germany,1918,11,143
Germany,1918,12,90
Germany,1919,01,60
Germany,1919,02,73
Germany,1919,03,78
Germany,1919,04,68
Germany,1919,05,88
Germany,1919,06,94
Germany,1919,07,37
Germany,1919,08,30
Germany,1919,09,22
Germany,1919,10,30
Germany,1919,11,24
Germany,1919,12,32
Russia,1920,01,30
Germany,1920,02,23
