year,country,count
1900,united kingdom,419
1901,united kingdom,495
1902,united kingdom,360
1903,united kingdom,243
1904,russia,649
1905,russia,468
1906,united kingdom,245
1907,united kingdom,210
1908,united kingdom,220
1909,united kingdom,279
1910,united kingdom,170
1911,united kingdom,207
1912,united kingdom,202
1913,united kingdom,243
1914,germany,1242
1915,germany,1682
1916,germany,1388
1917,germany,1496
1918,germany,1707
1919,germany,733
1920,united kingdom,369
1921,united kingdom,517
1922,united kingdom,430
1923,france,477
1924,united kingdom,294
1925,france,381
1926,united kingdom,300
1927,united kingdom,385
1928,united kingdom,295
1929,united kingdom,458
1930,united kingdom,453
1931,united kingdom,498
1932,united kingdom,407
1933,united kingdom,413
1934,united kingdom,291
1935,united kingdom,361
1936,united kingdom,388
1937,united kingdom,353
1938,united kingdom,420
1939,united kingdom,568
1940,united kingdom,824
1941,united kingdom,776
1942,japan,499
1943,germany,425
1944,germany,535
1945,japan,543
1946,russia,604
1947,russia,452
1948,russia,577
1949,russia,449
1950,russia,360
1951,russia,295
1952,russia,287
1953,russia,373
1954,france,382
1955,russia,544
1956,russia,651
1957,russia,552
1958,russia,504
1959,russia,566
1960,russia,508
1961,russia,529
1962,russia,540
1963,russia,485
1965,vietnam,554
1966,vietnam,598
1967,vietnam,490
1968,vietnam,459
1969,vietnam,275
1970,russia,211
1971,vietnam,232
1972,vietnam,359
1973,vietnam,173
1974,russia,149
1975,vietnam,164
1976,lebanon,141
1977,russia,162
1978,russia,67
1979,iran,60
1980,iran,185
1981,poland,134
1982,israel,135
1983,russia,158
1984,russia,122
1985,russia,139
1986,russia,173
1987,russia,179
1988,russia,216
1989,russia,200
1990,russia,240
1991,russia,227
1992,japan,107
1993,russia,94
1994,japan,81
1995,japan,106
1996,russia,86
1997,china,70
1998,china,87
1999,kosovo,111
2000,china,100
2001,united kingdom,241
2002,japan,272
2003,iraq,431
2004,iraq,309
2005,iraq,218
2006,iraq,233
2007,iraq,244
2008,china,118
2009,china,93
2010,china,144
2011,china,89
2012,china,110
2013,china,105
2014,china,79
2015,china,134
2016,china,109
2017,china,131
2018,china,141
