country,year,month,count
United Kingdom,1900,01,145
United Kingdom,1900,02,152
Puerto Rico,1900,03,143
United Kingdom,1900,04,109
Germany,1900,05,101
China,1900,06,147
China,1900,07,329
China,1900,08,232
China,1900,09,106
Germany,1900,10,102
China,1900,11,133
United Kingdom,1900,12,158
China,1901,01,86
United Kingdom,1901,02,86
Russia,1901,03,129
Russia,1901,04,120
United Kingdom,1901,05,96
United Kingdom,1901,06,87
United Kingdom,1901,07,106
Germany,1901,08,88
Germany,1901,09,88
Germany,1901,10,104
Germany,1901,11,135
Germany,1901,12,134
Germany,1902,01,141
Germany,1902,02,137
Germany,1902,03,121
United Kingdom,1902,04,118
France,1902,05,136
France,1902,06,88
United Kingdom,1902,07,77
Germany,1902,08,86
Germany,1902,09,76
Germany,1902,10,89
France,1902,11,97
Germany,1902,12,156
Germany,1903,01,151
Germany,1903,02,127
Germany,1903,03,115
Russia,1903,04,104
Russia,1903,05,115
Germany,1903,06,93
Russia,1903,07,122
Russia,1903,08,101
Russia,1903,09,67
Russia,1903,10,97
Panama,1903,11,179
Russia,1903,12,136
Russia,1904,01,203
Russia,1904,02,435
Russia,1904,03,289
Russia,1904,04,239
Russia,1904,05,283
Russia,1904,06,214
Russia,1904,07,255
Russia,1904,08,282
Russia,1904,09,219
Russia,1904,10,218
Russia,1904,11,174
Russia,1904,12,166
Russia,1905,01,178
Russia,1905,02,150
Russia,1905,03,220
Russia,1905,04,142
Russia,1905,05,184
Russia,1905,06,220
Russia,1905,07,153
Russia,1905,08,224
Japan,1905,09,158
Russia,1905,10,107
Russia,1905,11,154
Russia,1905,12,146
France,1906,01,80
France,1906,02,83
Germany,1906,03,89
Russia,1906,04,98
United Kingdom,1906,05,69
Russia,1906,06,59
Russia,1906,07,79
Russia,1906,08,64
Cuba,1906,09,120
Cuba,1906,10,84
France,1906,11,104
Japan,1906,12,119
France,1907,01,118
Japan,1907,02,94
France,1907,03,113
Germany,1907,04,84
France,1907,05,125
France,1907,06,108
Japan,1907,07,139
