country,year,month,count
United Kingdom,1900,01,114
United Kingdom,1900,02,119
Puerto Rico,1900,03,131
United Kingdom,1900,04,99
Germany,1900,05,87
China,1900,06,104
China,1900,07,259
China,1900,08,186
China,1900,09,98
China,1900,10,92
Germany,1900,11,112
United Kingdom,1900,12,118
China,1901,01,71
United Kingdom,1901,02,72
Russia,1901,03,93
Russia,1901,04,88
United Kingdom,1901,05,83
United Kingdom,1901,06,74
United Kingdom,1901,07,87
Germany,1901,08,76
Germany,1901,09,72
Germany,1901,10,73
Germany,1901,11,103
Germany,1901,12,97
Germany,1902,01,109
Germany,1902,02,108
Germany,1902,03,99
United Kingdom,1902,04,95
France,1902,05,114
France,1902,06,83
United Kingdom,1902,07,72
Germany,1902,08,82
Germany,1902,09,71
Germany,1902,10,84
France,1902,11,90
Germany,1902,12,124
Germany,1903,01,138
Germany,1903,02,104
Germany,1903,03,106
Russia,1903,04,75
Russia,1903,05,101
Germany,1903,06,85
Russia,1903,07,104
Russia,1903,08,87
Germany,1903,09,61
Russia,1903,10,76
Panama,1903,11,137
Russia,1903,12,108
Russia,1904,01,146
Russia,1904,02,337
Russia,1904,03,230
Russia,1904,04,189
Russia,1904,05,229
Russia,1904,06,170
Russia,1904,07,216
Russia,1904,08,228
Russia,1904,09,170
Russia,1904,10,171
Russia,1904,11,137
Russia,1904,12,137
Russia,1905,01,152
Russia,1905,02,125
Russia,1905,03,175
Russia,1905,04,118
Russia,1905,05,141
Russia,1905,06,163
Russia,1905,07,123
Russia,1905,08,181
Japan,1905,09,131
Russia,1905,10,92
Russia,1905,11,128
Russia,1905,12,112
France,1906,01,66
France,1906,02,70
Germany,1906,03,71
Russia,1906,04,89
United Kingdom,1906,05,61
Russia,1906,06,44
Russia,1906,07,66
Russia,1906,08,51
Cuba,1906,09,93
Cuba,1906,10,67
France,1906,11,92
France,1906,12,98
France,1907,01,103
France,1907,02,78
France,1907,03,106
Germany,1907,04,76
France,1907,05,117
France,1907,06,91
Japan,1907,07,112
France,1907,08,96
France,1907,09,98
France,1907,10,107
France,1907,11,86
France,1907,12,88
France,1908,01,93
France,1908,02,70
France,1908,03,83
France,1908,04,69
France,1908,05,93
Germany,1908,06,73
Germany,1908,07,64
Germany,1908,08,76
Germany,1908,09,76
France,1908,10,54
Germany,1908,11,81
Germany,1908,12,78
France,1909,01,58
Germany,1909,02,53
Italy,1909,03,54
France,1909,04,91
France,1909,05,95
France,1909,06,77
France,1909,07,109
Germany,1909,08,83
Germany,1909,09,79
France,1909,10,87
Germany,1909,11,61
France,1909,12,60
Germany,1910,01,82
France,1910,02,70
France,1910,03,82
France,1910,04,74
France,1910,05,53
France,1910,06,64
Germany,1910,07,60
Germany,1910,08,63
France,1910,09,73
France,1910,10,80
Mexico,1910,11,62
France,1910,12,62
France,1911,01,66
France,1911,02,60
Mexico,1911,03,97
Mexico,1911,04,83
Mexico,1911,05,71
France,1911,06,52
France,1911,07,70
France,1911,08,62
France,1911,09,86
Italy,1911,10,120
Germany,1911,11,64
Russia,1911,12,92
France,1912,01,91
France,1912,02,80
France,1912,03,114
France,1912,04,75
France,1912,05,93
France,1912,06,85
France,1912,07,61
Germany,1912,08,64
France,1912,09,89
France,1912,10,82
Turkey,1912,11,86
Germany,1912,12,81
France,1913,01,68
France,1913,02,88
France,1913,03,110
Germany,1913,04,83
France,1913,05,100
Germany,1913,06,81
France,1913,07,81
Mexico,1913,08,133
Germany,1913,09,93
France,1913,10,74
Mexico,1913,11,147
France,1913,12,93
France,1914,01,80
France,1914,02,92
Germany,1914,03,89
Mexico,1914,04,207
Mexico,1914,05,242
Mexico,1914,06,82
Germany,1914,07,95
Germany,1914,08,997
Germany,1914,09,1100
Germany,1914,10,953
Germany,1914,11,815
Germany,1914,12,674
Germany,1915,01,582
Germany,1915,02,723
Germany,1915,03,601
Germany,1915,04,577
Germany,1915,05,642
Germany,1915,06,576
Germany,1915,07,602
Germany,1915,08,615
Germany,1915,09,505
Germany,1915,10,489
Germany,1915,11,470
Germany,1915,12,450
Germany,1916,01,379
Germany,1916,02,427
Germany,1916,03,447
Germany,1916,04,426
Germany,1916,05,406
Germany,1916,06,336
Germany,1916,07,390
Germany,1916,08,384
Germany,1916,09,350
Germany,1916,10,350
Germany,1916,11,344
Germany,1916,12,392
Germany,1917,01,381
Germany,1917,02,557
Germany,1917,03,588
Germany,1917,04,570
Germany,1917,05,488
Germany,1917,06,413
Germany,1917,07,532
Germany,1917,08,514
Germany,1917,09,510
Germany,1917,10,495
Germany,1917,11,495
Germany,1917,12,399
Germany,1918,01,385
Germany,1918,02,483
Germany,1918,03,677
Germany,1918,04,674
Germany,1918,05,656
Germany,1918,06,744
Germany,1918,07,771
Germany,1918,08,639
Germany,1918,09,582
Germany,1918,10,655
Germany,1918,11,565
Germany,1918,12,390
Germany,1919,01,297
Germany,1919,02,287
Germany,1919,03,344
Germany,1919,04,295
Germany,1919,05,349
Germany,1919,06,395
Germany,1919,07,313
Germany,1919,08,281
Germany,1919,09,243
Germany,1919,10,228
Germany,1919,11,211
Germany,1919,12,196
Germany,1920,01,174
France,1920,02,185
Germany,1920,03,202
France,1920,04,204
France,1920,05,202
France,1920,06,171
France,1920,07,156
France,1920,08,193
France,1920,09,142
France,1920,10,167
France,1920,11,175
Germany,1920,12,170
France,1921,01,201
Germany,1921,02,217
Germany,1921,03,256
France,1921,04,239
France,1921,05,258
France,1921,06,258
France,1921,07,234
Russia,1921,08,172
Germany,1921,09,183
Germany,1921,10,174
France,1921,11,267
France,1921,12,248
France,1922,01,233
France,1922,02,204
France,1922,03,184
France,1922,04,204
France,1922,05,253
France,1922,06,222
Germany,1922,07,217
Germany,1922,08,225
France,1922,09,189
France,1922,10,243
France,1922,11,230
France,1922,12,215
France,1923,01,355
France,1923,02,333
France,1923,03,276
France,1923,04,237
France,1923,05,196
France,1923,06,212
France,1923,07,252
France,1923,08,259
Japan,1923,09,169
Germany,1923,10,201
France,1923,11,238
France,1923,12,234
