country,year,count
China,1900,1337
United Kingdom,1901,1084
Germany,1902,1179
Germany,1903,1068
Russia,1904,2977
Russia,1905,2029
France,1906,859
France,1907,1266
France,1908,953
France,1909,999
France,1910,876
France,1911,798
France,1912,1047
France,1913,1076
Germany,1914,6187
Germany,1915,8324
Germany,1916,5777
Germany,1917,7268
Germany,1918,8834
Germany,1919,4075
France,1920,2358
France,1921,2866
France,1922,2874
France,1923,3315
France,1924,2610
France,1925,3252
France,1926,3220
France,1927,3539
France,1928,3307
France,1929,3068
France,1930,3569
France,1931,3696
France,1932,3299
Germany,1933,3208
France,1934,2899
Italy,1935,2625
France,1936,2999
United Kingdom,1937,2273
France,1938,2646
Germany,1939,3286
United Kingdom,1940,4736
United Kingdom,1941,5667
United Kingdom,1942,3764
Germany,1943,3048
Germany,1944,3760
Japan,1945,3249
Russia,1946,4035
Russia,1947,3614
Russia,1948,3830
Russia,1949,3401
Russia,1950,2971
Russia,1951,2567
Russia,1952,2424
Russia,1953,2786
Russia,1954,2594
Russia,1955,3581
Russia,1956,4291
Russia,1957,3399
Russia,1958,3686
Russia,1959,3894
Russia,1960,3599
Russia,1961,3406
Russia,1962,3260
Russia,1963,2832
Russia,1964,1818
Vietnam,1965,2191
Vietnam,1966,2269
Russia,1967,1868
Russia,1968,1831
Russia,1969,1720
Russia,1970,1457
Russia,1971,1548
Russia,1972,1553
Russia,1973,1662
Russia,1974,1535
Russia,1975,1394
Russia,1976,1288
Russia,1977,1431
Russia,1978,1169
Iran,1979,1216
Russia,1980,2006
Russia,1981,903
Israel,1982,946
Russia,1983,997
Russia,1984,861
Russia,1985,891
Russia,1986,1055
Russia,1987,1088
Russia,1988,1213
Russia,1989,1154
Russia,1990,1117
Russia,1991,1073
Russia,1992,729
Russia,1993,612
Russia,1994,538
Japan,1995,586
Japan,1996,490
China,1997,489
China,1998,557
Kosovo,1999,861
China,2000,692
China,2001,753
Japan,2002,859
Iraq,2003,2791
Iraq,2004,1949
Iraq,2005,1340
Iraq,2006,1649
Iraq,2007,1806
China,2008,991
China,2009,898
China,2010,1124
China,2011,976
China,2012,1001
China,2013,961
China,2014,945
China,2015,1134
China,2016,1157
China,2017,967
China,2018,847
